,id,ref,label,elevation,latitude,longitude,type,class,area,street,postCode,labelCommune,startDate,stopDate
0,PASSON,83132,AUBAGNE LES PASSONS,0.0,43.29478229603724,5.571736100158821,0,Urbaine,De fond,chemin de la colline aux oiseaux,13400,AUBAGNE,2010-09-06T00:00:00Z,2030-12-31T00:00:00Z
1,GAPJAURES,83238,GAP JEAN JAURES,735.0,44.54864999999989,6.067227777777717,0,Trafic,Trafic,AVENUE JEAN JAURES,05000,GAP,2012-10-12T00:00:00Z,2030-12-31T00:00:00Z
2,CARPENTRAS,83188,CARPENTRAS ,115.0,44.060347222221914,5.067402777777276,0,,,1171 AVENUE DU MONT VENTOUX,84203,CARPENTRAS,2012-03-16T00:00:00Z,2030-12-31T00:00:00Z
3,OHP,83239,Obs Haute-Provence,668.0,43.933477777777554,5.711799999999879,0,Rurale régionale,De fond,Emplacement 152. Saint Michel l Observatoire 04870,04870,SAINT-MICHEL-L OBSERVATOIRE,2012-07-27T15:53:46Z,2030-12-31T00:00:00Z
4,SALON,83041,SALON,41.0,43.63900277777758,5.101097222221957,0,Urbaine,De fond,Impasse Pierre Brossolete,13300,SALON de PROVENCE,2013-01-01T00:00:00Z,2030-12-31T00:00:00Z
5,MAGNAN,83235,PROMENADE DES ANGLAI,4.0,43.6892944444443,7.242063888888551,0,Trafic,Trafic,Promenade des Anglais,06200,NICE,2010-05-06T00:00:00Z,2030-12-31T00:00:00Z
6,ARSON,83236,NICE ARSON,11.0,43.70207777777726,7.286247222221722,0,Urbaine,De fond,Place Arson,06300,NICE,2011-12-13T00:00:00Z,2030-12-31T00:00:00Z
7,MALET,83151,ALPHA,0.0,43.46944444444428,5.498333333333244,2,,,Route de Sainte Barbe,13590,MEYREUIL,2014-04-28T14:42:29Z,2020-06-04T10:16:40Z
8,CHEIRON,83240,Massif du Cheiron,994.0,43.79191388888858,7.0482694444440375,0,Rurale régionale,De fond,333 Route de Ourmeou Ecole,06140,COURSEGOULES,2014-12-15T10:00:00Z,2030-12-31T00:00:00Z
9,ESTEREL,83170,FREJUS/SAINT RAPHAEL,5.0,43.43786111111103,6.768358333333188,0,Périurbaine,De fond,Allée du Hameau du college,83700,SAINT-RAPHAEL,2015-10-15T00:00:00Z,2030-12-31T00:00:00Z
10,NCA,83250,NCA_Port_QuaiCommerc,2.0,43.694166666666156,7.468888888888771,0,,,,,NICE,2016-03-04T00:00:00Z,2030-12-31T00:00:00Z
11,TOUCLA,83171,TOULON CLARET,26.0,43.1311138888885,5.924183333332795,0,Urbaine,De fond,237 Avenue de Claret,83100,TOULON,2016-11-25T00:00:00Z,2030-12-31T00:00:00Z
12,MARIGNANE,83043,Marignane,15.0,43.416527777777254,5.222280555555378,0,Urbaine,De fond,2 rue de provence,13700,MARIGNANE,2018-02-02T00:14:00Z,2030-12-31T00:00:00Z
13,GARDANNE,83133,Météo Gardanne,203.0,43.45261388888839,5.4653222222221665,0,,,,,GARDANNE,2017-11-20T00:00:00Z,2030-12-31T00:00:00Z
14,MOBILE_02,83502,MOBILE02_QAPAatelier,2.0,0.0,0.0,0,,,,,FOS sur MER,2017-12-11T00:00:00Z,2030-12-22T00:00:00Z
15,MOBILE_03,83503,MOBILE03_Toulon_TCA,2.0,43.117499999999715,5.935277777777517,0,Périurbaine,De fond,"Entrée terminal ferry, 2 Avenue de l'infanterie de marine",83041,TOULON,2017-12-15T10:18:00Z,2022-11-16T12:00:00Z
16,MOBILE_04,83504,MOBILE04_Malet,224.0,43.46999999999971,5.498333333333244,0,,,"Spie Batignolles Malet, D6",13590,MEYREUIL,2018-01-24T00:00:00Z,2030-12-31T00:00:00Z
17,MOBILE_06,83506,MOBILE06_Euromed,7.0,43.30916666666662,5.367777777777392,0,,,,,MARSEILLE,2018-01-26T00:00:00Z,2030-12-31T00:00:00Z
18,MOBILE_07,83507,MOBILE07_Avignon_CDG,0.0,43.93138888888864,4.826944444444211,0,,,1 rue Joseph Peru,,AVIGNON,2018-02-28T00:00:00Z,2023-02-07T00:00:00Z
19,MOBILE_08,83508,MOBILE08_SERAMM,10.0,43.34805555555531,5.344999999999604,0,,,Chemin du ruisseau Mirabeau,13015,MARSEILLE,2019-07-09T00:00:00Z,2030-12-31T00:00:00Z
20,MOBILE_10,83510,MOBILE10_LFG_SOUSQUI,210.0,43.426944444444146,5.3799999999997175,0,,,11 rue Eugène Schneider,13320,BOUC BEL AIR,2019-11-22T00:00:00Z,2030-12-31T00:00:00Z
21,MOBILE_12,83512,MOBILE12_Mars_L2_Kad,0.0,43.308611111110615,5.425277777777578,0,,,35 rue charles kaddouz,,MARSEILLE,2021-09-30T00:00:00Z,2030-12-31T00:00:00Z
22,MOULIN_TIMONE,83109,Marseille_Jean Mouli,0.0,43.28749999999969,5.400555555555213,0,Urbaine,Trafic,"Bd Jean Moulin, Faculté de Pharmacie",13005,MARSEILLE,2021-11-30T00:00:00Z,2030-12-31T00:00:00Z
